"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"1586","1MP91","G034A",1,"1991-04-17 23:40","1MP91 G034A 1 60BON 1",0,0,1991,4,54.43333,-167.3833,107,207.61379,655,"1MP91_54.43333_-167.3833_1991-04-17 23:40_333",0,81,"4/17/1991",284096
"1587","1MP91","G035A",1,"1991-04-18 2:24","1MP91 G035A 1 60BON 1",0,0,1991,4,54.16667,-167.9333,108,225.19859,1600,"1MP91_54.16667_-167.9333_1991-04-18 2:24_333",0,81,"4/18/1991",284096
"1588","1MP91","G105A",1,"1991-04-29 0:35","1MP91 G105A 1 60BON 1",0,0,1991,4,57.45,-173.8667,119,117.19863,140,"1MP91_57.45_-173.8667_1991-04-29 0:35_333",0,81,"4/29/1991",284096
"1589","1MP91","G130A",1,"1991-05-06 8:10","1MP91 G130A 1 60BON 1",0,0,1991,5,55,-170.6667,126,202.51918,3300,"1MP91_55_-170.6667_1991-05-06 8:10_333",0,81,"5/6/1991",284096
"1590","1MP91","G131A",1,"1991-05-06 13:40","1MP91 G131A 1 60BON 1",0,0,1991,5,54.86667,-169.4333,126,199.9597,2634,"1MP91_54.86667_-169.4333_1991-05-06 13:40_333",0,81,"5/6/1991",284096
"1593","3DY09","80",2,"2009-05-17 0:59","3DY09 80 2 60BON 1",0,0,2009,5,54.76733,-167.78467,137,468.78006,1250,"3DY09_54.76733_-167.78467_2009-05-17 0:59_505",0,311,"5/17/2009",225280
"1594","2DY12","69",1,"2012-05-21 21:43","2DY12 69 1 60BON 1",95.06183,144.03307,2012,5,56.64,-163.6268,141,138.857,77,"2DY12_56.64_-163.6268_2012-05-21 21:43_505",20,429,"5/21/2012",234044
"1595","2DY12","71",1,"2012-05-22 0:36","2DY12 71 1 60BON 1",98.74973,129.93386,2012,5,56.201,-163.1985,142,130.8358,85,"2DY12_56.201_-163.1985_2012-05-22 0:36_505",17,429,"5/22/2012",234044
"1596","DY14-05","19",8,"2014-05-09 11:20","DY14-05 19 8 60BON 2",11.05365,17.54548,2014,5,56.875,-164.0467,129,113.98948,72,"DY14-05_56.875_-164.0467_2014-05-09 11:20_505",2,521,"5/9/2014",228355
"1598","2DY12","49",1,"2012-05-20 7:35","2DY12 49 1 60BON 1",21.03779,29.63068,2012,5,56.50483,-165.0017,140,134.9952,81,"2DY12_56.50483_-165.0017_2012-05-20 7:35_505",4,429,"5/20/2012",234044
"1599","2DY12","50",1,"2012-05-20 9:07","2DY12 50 1 60BON 1",90.13649,134.53208,2012,5,56.626,-164.6202,140,104.0644,77,"2DY12_56.626_-164.6202_2012-05-20 9:07_505",14,429,"5/20/2012",234044
"1600","DY14-05","36",2,"2014-05-10 12:24","DY14-05 36 2 60BON 1",5.158,8.31935,2014,5,57.5032,-167.3388,130,120.20173,71,"DY14-05_57.5032_-167.3388_2014-05-10 12:24_505",1,521,"5/10/2014",228355
"1602","2MF98","18",2,"1998-04-11 4:38","2MF98 18 2 60BON 1",0,0,1998,4,55.62767,-164.15981,101,173.07181,96,"2MF98_55.62767_-164.15981_1998-04-11 4:38_505",0,16,"4/11/1998",244951
"1603","3MF06","61",2,"2006-05-16 3:24","3MF06 61 2 60BON 1",0,0,2006,5,55.96833,-163.96033,136,146.29067,92,"3MF06_55.96833_-163.96033_2006-05-16 3:24_505",0,442,"5/16/2006",242629
"1604","3MF06","67",3,"2006-05-16 16:03","3MF06 67 3 60BON 2",35.79182,74.56628,2006,5,55.7525,-162.76849,136,93.87621,58,"3MF06_55.7525_-162.76849_2006-05-16 16:03_505",7,442,"5/16/2006",242629
"1605","3MF06","80",3,"2006-05-17 18:16","3MF06 80 3 60BON 1",173.32472,304.07845,2006,5,56.45833,-161.43601,137,92.0815,68,"3MF06_56.45833_-161.43601_2006-05-17 18:16_505",28,442,"5/17/2006",242629
"1606","3MF06","88",2,"2006-05-18 9:02","3MF06 88 2 60BON 1",633.28251,1091.8664,2006,5,57.039,-160.43517,138,92.50216,66,"3MF06_57.039_-160.43517_2006-05-18 9:02_505",101,442,"5/18/2006",242629
"1608","3MF02","40",2,"2002-05-16 17:15","3MF02 40 2 60BON 1",0,0,2002,5,55.02883,-166.07016,136,201.70494,141,"3MF02_55.02883_-166.07016_2002-05-16 17:15_505",0,236,"5/16/2002",255755
"1609","3MF06","89",2,"2006-05-18 10:55","3MF06 89 2 60BON 1",1452.94104,2848.904,2006,5,56.82017,-160.21401,138,98.28341,62,"3MF06_56.82017_-160.21401_2006-05-18 10:55_505",280,442,"5/18/2006",242629
"1610","3MF06","90",2,"2006-05-18 12:47","3MF06 90 2 60BON 1",1332.38615,3330.96536,2006,5,56.60483,-159.99516,138,123.98808,46,"3MF06_56.60483_-159.99516_2006-05-18 12:47_505",413,442,"5/18/2006",242629
"1611","3MF02","43",2,"2002-05-16 23:54","3MF02 43 2 60BON 1",0,0,2002,5,55.38467,-164.92867,136,84.69564,110,"3MF02_55.38467_-164.92867_2002-05-16 23:54_505",0,236,"5/16/2002",255755
"1612","2DY12","110",2,"2012-05-24 17:34","2DY12 110 2 60BON 1",2510.57693,4736.93761,2012,5,57.00017,-162.4698,144,52.3545,63,"2DY12_57.00017_-162.4698_2012-05-24 17:34_505",248,429,"5/24/2012",234044
"1613","2DY12","111",1,"2012-05-24 19:01","2DY12 111 1 60BON 1",501.95375,896.34599,2012,5,56.88467,-162.8507,144,142.802,66,"2DY12_56.88467_-162.8507_2012-05-24 19:01_505",128,429,"5/24/2012",234044
"1614","DY14-05","96",2,"2014-05-16 12:00","DY14-05 96 2 60BON 1",0,0,2014,5,54.568,-166.5348,136,458.00373,422,"DY14-05_54.568_-166.5348_2014-05-16 12:00_505",0,521,"5/16/2014",228355
"1615","DY14-06","16",1,"2014-05-22 6:56","DY14-06 16 1 60BON 1",4.59395,4.17632,2014,5,55.1477,-165.6873,142,239.44553,123,"DY14-06_55.1477_-165.6873_2014-05-22 6:56_505",1,521,"5/22/2014",228355
"1621","3DY09","66",2,"2009-05-15 15:47","3DY09 66 2 60BON 1",6.03041,6.77574,2009,5,56.04367,-165.55533,135,147.58528,98,"3DY09_56.04367_-165.55533_2009-05-15 15:47_505",1,311,"5/15/2009",225280
"1622","3DY08","47",2,"2008-05-19 8:54","3DY08 47 2 60BON 1",10.37681,11.79182,2008,5,55.6205,-164.142,139,169.60904,96,"3DY08_55.6205_-164.142_2008-05-19 8:54_335",2,331,"5/19/2008",227649
"1623","3DY08","27",2,"2008-05-16 6:28","3DY08 27 2 60BON 1",7.33556,10.33177,2008,5,56.54233,-163.02417,136,96.7888,80,"3DY08_56.54233_-163.02417_2008-05-16 6:28_335",1,331,"5/16/2008",227649
"1624","3DY08","29",2,"2008-05-16 10:21","3DY08 29 2 60BON 1",6.6253,9.46471,2008,5,56.64317,-163.62784,136,105.65563,77,"3DY08_56.64317_-163.62784_2008-05-16 10:21_335",1,331,"5/16/2008",227649
"1625","DY14-06","119",1,"2014-05-29 6:51","DY14-06 119 1 60BON 1",0,0,2014,5,56.7058,-166.1967,149,131.09146,81,"DY14-06_56.7058_-166.1967_2014-05-29 6:51_505",0,521,"5/29/2014",228355
"1634","DY14-06","128",1,"2014-05-29 21:04","DY14-06 128 1 60BON 1",0,0,2014,5,56.2085,-168.682,149,420.08667,206,"DY14-06_56.2085_-168.682_2014-05-29 21:04_505",0,521,"5/29/2014",228355
"1635","DY14-06","131",1,"2014-05-30 2:51","DY14-06 131 1 60BON 1",0,0,2014,5,55.8518,-169.7893,150,541.87313,1904,"DY14-06_55.8518_-169.7893_2014-05-30 2:51_505",0,521,"5/30/2014",228355
"1636","DY14-06","133",1,"2014-05-30 7:38","DY14-06 133 1 60BON 1",0,0,2014,5,55.9552,-170.381,150,544.54023,929,"DY14-06_55.9552_-170.381_2014-05-30 7:38_505",0,521,"5/30/2014",228355
"1637","DY14-06","135",1,"2014-05-30 12:27","DY14-06 135 1 60BON 1",0,0,2014,5,56.1893,-169.636,150,473.01998,361,"DY14-06_56.1893_-169.636_2014-05-30 12:27_505",0,521,"5/30/2014",228355
"1638","DY14-05","42",2,"2014-05-10 22:03","DY14-05 42 2 60BON 1",5.53972,8.39352,2014,5,57.7683,-168.4642,130,119.13959,71,"DY14-05_57.7683_-168.4642_2014-05-10 22:03_505",1,521,"5/10/2014",228355
"1639","DY14-05","43",5,"2014-05-11 0:32","DY14-05 43 5 60BON 2",0,0,2014,5,57.8352,-168.8827,131,130.47681,71,"DY14-05_57.8352_-168.8827_2014-05-11 0:32_505",0,521,"5/11/2014",228355
"1640","DY14-06","139",1,"2014-05-30 19:07","DY14-06 139 1 60BON 1",0,0,2014,5,56.6675,-168.1492,150,170.21358,107,"DY14-06_56.6675_-168.1492_2014-05-30 19:07_505",0,521,"5/30/2014",228355
"1641","DY14-05","45",2,"2014-05-11 4:33","DY14-05 45 2 60BON 2",23.86362,38.48971,2014,5,57.9272,-169.325,131,103.92389,67,"DY14-05_57.9272_-169.325_2014-05-11 4:33_505",4,521,"5/11/2014",228355
"1651","3DY09","49",2,"2009-05-14 6:43","3DY09 49 2 60BON 1",337.53331,519.28201,2009,5,55.5285,-163.54916,134,130.95004,75,"3DY09_55.5285_-163.54916_2009-05-14 6:43_505",68,311,"5/14/2009",225280
"1652","3DY08","14",2,"2008-05-15 2:48","3DY08 14 2 60BON 1",459.10351,685.22912,2008,5,56.57683,-161.01367,135,131.34293,72,"3DY08_56.57683_-161.01367_2008-05-15 2:48_335",90,331,"5/15/2008",227649
"1653","3DY08","60",2,"2008-05-20 11:58","3DY08 60 2 60BON 1",4.45058,3.83671,2008,5,54.9285,-165.47983,140,260.64014,127,"3DY08_54.9285_-165.47983_2008-05-20 11:58_335",1,331,"5/20/2008",227649
"1654","DY14-05","65",2,"2014-05-12 8:14","DY14-05 65 2 60BON 1",60.28049,94.18827,2014,5,59.8928,-172.1638,132,116.78737,74,"DY14-05_59.8928_-172.1638_2014-05-12 8:14_505",11,521,"5/12/2014",228355
"1655","6MF95","99",1,"1995-04-26 18:18","6MF95 99 1 60BON 1",0,0,1995,4,55.344,-166.87019,116,161.57082,138,"6MF95_55.344_-166.87019_1995-04-26 18:18_333",0,275,"4/26/1995",257129
"1656","3DY09","9",2,"2009-05-09 12:31","3DY09 9 2 60BON 1",5.73344,9.7177,2009,5,56.96933,-169.91684,129,102.90499,68,"3DY09_56.96933_-169.91684_2009-05-09 12:31_505",1,311,"5/9/2009",225280
"1658","3DY08","18",2,"2008-05-15 13:14","3DY08 18 2 60BON 1",17.59611,25.13729,2008,5,56.66183,-162.6245,135,119.34459,76,"3DY08_56.66183_-162.6245_2008-05-15 13:14_335",3,331,"5/15/2008",227649
"1659","3DY08","2",2,"2008-05-13 2:54","3DY08 2 2 60BON 1",0,0,2008,5,54.231,-166.7935,133,503.11578,1261,"3DY08_54.231_-166.7935_2008-05-13 2:54_335",0,331,"5/13/2008",227649
"1660","DY14-06","156",1,"2014-06-02 1:19","DY14-06 156 1 60BON 1",0,0,2014,6,56.9895,-168.9562,153,128.31635,80,"DY14-06_56.9895_-168.9562_2014-06-02 1:19_505",0,521,"6/2/2014",228355
"1661","DY14-06","166",1,"2014-06-02 19:28","DY14-06 166 1 60BON 1",0,0,2014,6,56.8507,-170.2835,153,153.76702,93,"DY14-06_56.8507_-170.2835_2014-06-02 19:28_505",0,521,"6/2/2014",228355
"1663","2MF05","98",1,"2005-03-04 20:21","2MF05 98 1 60BON 1",0,0,2005,3,54.30967,-165.70134,63,125.74557,81,"2MF05_54.30967_-165.70134_2005-03-04 20:21_505",0,283,"3/4/2005",249168
"1667","2DY10","2",2,"2010-05-06 11:44","2DY10 2 2 60BON 2",0,0,2010,5,54.4505,-167.00833,126,434.15085,505,"2DY10_54.4505_-167.00833_2010-05-06 11:44_500",0,370,"5/6/2010",227957
"1668","2DY10","22",3,"2010-05-08 12:22","2DY10 22 3 60BON 2",0,0,2010,5,54.707,-165.272,128,264.8378,136,"2DY10_54.707_-165.272_2010-05-08 12:22_500",0,370,"5/8/2010",227957
"1669","2DY10","25",4,"2010-05-08 21:06","2DY10 25 4 60BON 2",0,0,2010,5,55.36467,-165.89317,128,204.07626,121,"2DY10_55.36467_-165.89317_2010-05-08 21:06_500",0,370,"5/8/2010",227957
"1670","5MF00","18",2,"2000-05-07 5:08","5MF00 18 2 60BON 1",0,0,2000,5,57.10083,-169.31751,127,88.28073,74,"5MF00_57.10083_-169.31751_2000-05-07 5:08_333",0,54,"5/7/2000",248451
"1673","4MF07","33",1,"2007-05-11 18:19","4MF07 33 1 60BON 1",0,0,2007,5,56.76817,-168.744,131,128.70641,99,"4MF07_56.76817_-168.744_2007-05-11 18:19_505",0,446,"5/11/2007",234261
"1675","2DY10","4",2,"2010-05-06 16:38","2DY10 4 2 60BON 2",0,0,2010,5,54.89034,-167.42183,126,464.43213,429,"2DY10_54.89034_-167.42183_2010-05-06 16:38_500",0,370,"5/6/2010",227957
"1676","4MF94","150",3,"1994-04-29 12:17","4MF94 150 3 60BON 1",0,0,1994,4,53.88333,-167.4967,119,251.9545,1388,"4MF94_53.88333_-167.4967_1994-04-29 12:17_333",0,158,"4/29/1994",261909
"1677","4MF07","10",2,"2007-05-09 7:04","4MF07 10 2 60BON 1",0,0,2007,5,55.6325,-169.58067,129,355.06619,2611,"4MF07_55.6325_-169.58067_2007-05-09 7:04_505",0,446,"5/9/2007",234261
"1678","4MF07","40",2,"2007-05-12 9:03","4MF07 40 2 60BON 1",0,0,2007,5,56.26833,-171.17101,132,197.21747,148,"4MF07_56.26833_-171.17101_2007-05-12 9:03_505",0,446,"5/12/2007",234261
"1680","3MF93","107",1,"1993-04-29 13:40","3MF93 107 1 60BON 1",0,0,1993,4,54.24333,-166.7117,119,413.33929,1225,"3MF93_54.24333_-166.7117_1993-04-29 13:40_333",0,119,"4/29/1993",268008
"1681","2MF03","5",2,"2003-03-04 11:53","2MF03 5 2 60BON 1",0,0,2003,3,56.86783,-164.05634,63,99.919,71,"2MF03_56.86783_-164.05634_2003-03-04 11:53_333",0,125,"3/4/2003",255366
"1685","4MF07","88",1,"2007-05-17 17:24","4MF07 88 1 60BON 1",0,0,2007,5,55.16667,-168.16634,137,692.4895,1646,"4MF07_55.16667_-168.16634_2007-05-17 17:24_505",0,446,"5/17/2007",234261
"1686","4MF07","68",2,"2007-05-15 3:59","4MF07 68 2 60BON 1",0,0,2007,5,56.57267,-172.90834,135,398.33109,850,"4MF07_56.57267_-172.90834_2007-05-15 3:59_505",0,446,"5/15/2007",234261
"1687","4MF94","143",6,"1994-04-28 9:01","4MF94 143 6 60BON 1",0,0,1994,4,54.72333,-165.56329,118,221.645,251,"4MF94_54.72333_-165.56329_1994-04-28 9:01_333",0,158,"4/28/1994",261909
"1688","3MF93","27",1,"1993-04-18 8:00","3MF93 27 1 60BON 1",0,0,1993,4,55.10333,-167.6283,108,360.0397,286,"3MF93_55.10333_-167.6283_1993-04-18 8:00_333",0,119,"4/18/1993",268008
"1689","3MF93","39",1,"1993-04-19 9:36","3MF93 39 1 60BON 1",0,0,1993,4,54.65,-168.1367,109,429.98996,1685,"3MF93_54.65_-168.1367_1993-04-19 9:36_333",0,119,"4/19/1993",268008
"1690","3MF93","41",1,"1993-04-19 13:42","3MF93 41 1 60BON 1",0,0,1993,4,55.13667,-168.5818,109,447.28873,1925,"3MF93_55.13667_-168.5818_1993-04-19 13:42_333",0,119,"4/19/1993",268008
"1691","3MF93","43",1,"1993-04-19 17:43","3MF93 43 1 60BON 1",0,0,1993,4,54.74,-168.72501,109,465.05548,2089,"3MF93_54.74_-168.72501_1993-04-19 17:43_333",0,119,"4/19/1993",268008
"1693","3MF93","5",1,"1993-04-16 1:48","3MF93 5 1 60BON 1",0,0,1993,4,54.28667,-167.0583,106,139.08666,1310,"3MF93_54.28667_-167.0583_1993-04-16 1:48_333",0,119,"4/16/1993",268008
"1694","3MF93","61",1,"1993-04-21 15:34","3MF93 61 1 60BON 1",0,0,1993,4,54.825,-169.3183,111,491.4631,2201,"3MF93_54.825_-169.3183_1993-04-21 15:34_333",0,119,"4/21/1993",268008
"1695","3MF93","72",1,"1993-04-22 9:26","3MF93 72 1 60BON 1",0,0,1993,4,54.79167,-167.94501,112,468.42398,1751,"3MF93_54.79167_-167.94501_1993-04-22 9:26_333",0,119,"4/22/1993",268008
"1697","4MF94","45",1,"1994-04-19 11:45","4MF94 45 1 60BON 1",0,0,1994,4,54.56667,-166.63831,109,270.49689,419,"4MF94_54.56667_-166.63831_1994-04-19 11:45_333",0,158,"4/19/1994",261909
"1698","4MF07","52",3,"2007-05-13 10:18","4MF07 52 3 60BON 1",0,0,2007,5,56.8505,-170.28517,133,128.30444,92,"4MF07_56.8505_-170.28517_2007-05-13 10:18_505",0,446,"5/13/2007",234261
"1699","4MF07","21",2,"2007-05-10 12:52","4MF07 21 2 60BON 1",0,0,2007,5,55.85017,-169.793,130,371.33298,1902,"4MF07_55.85017_-169.793_2007-05-10 12:52_505",0,446,"5/10/2007",234261
"1700","4MF07","26",4,"2007-05-11 2:16","4MF07 26 4 60BON 1",0,0,2007,5,56.07367,-170.00934,131,141.37459,126,"4MF07_56.07367_-170.00934_2007-05-11 2:16_505",0,446,"5/11/2007",234261
"1701","4MF94","54",1,"1994-04-20 6:28","4MF94 54 1 60BON 1",0,0,1994,4,53.73,-168.265,110,286.8241,1579,"4MF94_53.73_-168.265_1994-04-20 6:28_333",0,158,"4/20/1994",261909
"1702","4MF94","55",1,"1994-04-20 8:49","4MF94 55 1 60BON 1",0,0,1994,4,53.84667,-167.8833,110,248.6497,1451,"4MF94_53.84667_-167.8833_1994-04-20 8:49_333",0,158,"4/20/1994",261909
"1703","4MF07","54",2,"2007-05-13 14:18","4MF07 54 2 60BON 1",0,0,2007,5,56.611,-171.01784,133,162.69272,118,"4MF07_56.611_-171.01784_2007-05-13 14:18_505",0,446,"5/13/2007",234261
"1708","4MF07","73",2,"2007-05-15 21:10","4MF07 73 2 60BON 1",0,0,2007,5,56.00917,-172.84866,135,360.9454,3120,"4MF07_56.00917_-172.84866_2007-05-15 21:10_505",0,446,"5/15/2007",234261
"1709","4MF07","78",2,"2007-05-16 9:20","4MF07 78 2 60BON 1",0,0,2007,5,55.931,-171.31767,136,405.94821,2900,"4MF07_55.931_-171.31767_2007-05-16 9:20_505",0,446,"5/16/2007",234261
"1723","3MF79","G033A",2,"1979-06-19 12:52","3MF79 G033A 2 60BON 1",0,0,1979,6,56.27,-166.4933,170,195.3587,105,"3MF79_56.27_-166.4933_1979-06-19 12:52_505",0,126,"6/19/1979",227682
"1724","4MF03","12",3,"2003-05-19 1:23","4MF03 12 3 60BON 1",0,0,2003,5,54.46283,-165.00517,139,118.74911,77,"4MF03_54.46283_-165.00517_2003-05-19 1:23_505",0,125,"5/19/2003",255366
"1736","6MF95","35",1,"1995-04-20 5:21","6MF95 35 1 60BON 1",0,0,1995,4,54.92083,-168.65871,110,123.50719,1945,"6MF95_54.92083_-168.65871_1995-04-20 5:21_333",0,275,"4/20/1995",257129
"1737","6MF95","37",1,"1995-04-20 6:50","6MF95 37 1 60BON 1",0,0,1995,4,55.03,-168.7675,110,132.25848,2034,"6MF95_55.03_-168.7675_1995-04-20 6:50_333",0,275,"4/20/1995",257129
"1738","6MF95","53",1,"1995-04-21 16:29","6MF95 53 1 60BON 1",0,0,1995,4,54.57117,-166.6273,111,286.67996,414,"6MF95_54.57117_-166.6273_1995-04-21 16:29_333",0,275,"4/21/1995",257129
"1739","6MF95","56",2,"1995-04-22 2:30","6MF95 56 2 60BON 1",0,0,1995,4,54.41083,-165.1308,112,172.62647,133,"6MF95_54.41083_-165.1308_1995-04-22 2:30_333",0,275,"4/22/1995",257129
"1740","3MF79","V008A",2,"1979-06-03 22:35","3MF79 V008A 2 60BON 1",0,0,1979,6,56.05333,-166.57001,154,156.82571,124,"3MF79_56.05333_-166.57001_1979-06-03 22:35_505",0,126,"6/3/1979",227682
"1742","1AK10","14",2,"2010-06-21 0:21","1AK10 14 2 60BON 1",0,0,2010,6,60.3405,-167.08701,172,36.01176,27,"1AK10_60.3405_-167.08701_2010-06-21 0:21_333",0,370,"6/21/2010",227957
"1743","1AK11","1",2,"2011-06-06 3:10","1AK11 1 2 60BON 1",0,0,2011,6,58.00667,-159.04334,157,54.10555,38,"1AK11_58.00667_-159.04334_2011-06-06 3:10_333",0,208,"6/6/2011",232110
"1745","1DY09","17",1,"2009-03-02 19:05","1DY09 17 1 60BON 1",0,0,2009,3,55.0565,-167.7715,61,649.1521,466,"1DY09_55.0565_-167.7715_2009-03-02 19:05_505",0,311,"3/2/2009",225280
"1756","5MF97","37",2,"1997-04-20 23:23","5MF97 37 2 60BON 1",0,0,1997,4,56.76617,-164.3355,110,45.60003,74,"5MF97_56.76617_-164.3355_1997-04-20 23:23_333",0,132,"4/20/1997",247943
"1758","1DY11","42",2,"2011-05-25 6:02","1DY11 42 2 60BON 1",55.09331,87.4497,2011,5,57.44033,-166.5125,145,171.52718,69,"1DY11_57.44033_-166.5125_2011-05-25 6:02_333",15,208,"5/25/2011",232110
"1759","1DY11","53",5,"2011-05-26 10:04","1DY11 53 5 60BON 1",77.59948,117.57496,2011,5,56.91267,-164.036,146,127.57818,72,"1DY11_56.91267_-164.036_2011-05-26 10:04_333",15,208,"5/26/2011",232110
"1768","1DY09","23",2,"2009-03-03 17:15","1DY09 23 2 60BON 1",0,0,2009,3,54.93217,-165.49733,62,246.58011,126,"1DY09_54.93217_-165.49733_2009-03-03 17:15_505",0,311,"3/3/2009",225280
"1769","2DY10","29",2,"2010-05-09 5:13","2DY10 29 2 60BON 2",0,0,2010,5,54.8255,-164.88716,129,137.59807,75,"2DY10_54.8255_-164.88716_2010-05-09 5:13_500",0,370,"5/9/2010",227957
"1770","1DN88","G161A",1,"1988-04-12 9:40","1DN88 G161A 1 60BON 2",0,0,1988,4,55.36667,-164.10001,102,136.01166,90,"1DN88_55.36667_-164.10001_1988-04-12 9:40_505",0,107,"4/12/1988",311661
"1773","1HE07","119",2,"2007-04-26 17:00","1HE07 119 2 60BON 1",0,0,2007,4,56.96583,-170.27651,116,177.38493,77,"1HE07_56.96583_-170.27651_2007-04-26 17:00_333",0,446,"4/26/2007",234261
"1774","1HE07","127",2,"2007-04-28 9:18","1HE07 127 2 60BON 1",3.47134,5.98507,2007,4,57.03233,-170.04167,118,167.08237,61,"1HE07_57.03233_-170.04167_2007-04-28 9:18_333",1,446,"4/28/2007",234261
"1777","1DN88","G165A",1,"1988-04-12 21:05","1DN88 G165A 1 60BON 2",819.78401,1999.4732,1988,4,55.825,-162.4167,102,49.01291,50,"1DN88_55.825_-162.4167_1988-04-12 21:05_505",98,107,"4/12/1988",311661
"1778","1DN88","G175A",1,"1988-04-17 6:00","1DN88 G175A 1 60BON 2",0,0,1988,4,54.5,-167.35001,107,333.94827,500,"1DN88_54.5_-167.35001_1988-04-17 6:00_505",0,107,"4/17/1988",311661
"1779","1DN88","G184A",1,"1988-04-21 10:00","1DN88 G184A 1 60BON 2",47.69252,66.23961,1988,4,56.46333,-165.96671,111,90.58024,85,"1DN88_56.46333_-165.96671_1988-04-21 10:00_505",6,107,"4/21/1988",311661
"1780","1DN88","G187A",1,"1988-04-22 16:50","1DN88 G187A 1 60BON 2",0,0,1988,4,55.09167,-167.8167,112,333.22644,490,"1DN88_55.09167_-167.8167_1988-04-22 16:50_505",0,107,"4/22/1988",311661
"1781","1DN88","G192A",1,"1988-04-24 19:18","1DN88 G192A 1 60BON 2",21.39723,32.42005,1988,4,56.91667,-167.8833,114,92.53533,80,"1DN88_56.91667_-167.8833_1988-04-24 19:18_505",3,107,"4/24/1988",311661
"1782","1MP91","G004A",1,"1991-04-14 14:05","1MP91 G004A 1 60BON 1",0,0,1991,4,55.33333,-164.23331,104,76.6387,100,"1MP91_55.33333_-164.23331_1991-04-14 14:05_333",0,81,"4/14/1991",284096
"1784","2MF03","3",2,"2003-03-04 8:42","2MF03 3 2 60BON 1",0,0,2003,3,56.768,-164.32967,63,107.2667,74,"2MF03_56.768_-164.32967_2003-03-04 8:42_333",0,125,"3/4/2003",255366
"1787","DY14-06","41",1,"2014-05-24 4:00","DY14-06 41 1 60BON 1",5.31714,6.40619,2014,5,55.6237,-164.1453,144,156.09901,94,"DY14-06_55.6237_-164.1453_2014-05-24 4:00_505",1,521,"5/24/2014",228355
"1790","1HE07","215",3,"2007-05-11 16:44","1HE07 215 3 60BON 1",0,0,2007,5,55.55583,-167.70383,131,251.30862,136,"1HE07_55.55583_-167.70383_2007-05-11 16:44_333",0,446,"5/11/2007",234261
"1791","1HE07","30",5,"2007-04-14 13:55","1HE07 30 5 60BON 1",0,0,2007,4,57.90867,-169.06934,104,93.02267,71,"1HE07_57.90867_-169.06934_2007-04-14 13:55_333",0,446,"4/14/2007",234261
"1792","1HE07","20",2,"2007-04-13 14:43","1HE07 20 2 60BON 1",0,0,2007,4,57.421,-166.80983,103,92.92748,70,"1HE07_57.421_-166.80983_2007-04-13 14:43_333",0,446,"4/13/2007",234261
"1795","1DY12","45",2,"2012-05-03 12:58","1DY12 45 2 60BON 1",0,0,2012,5,54.2205,-166.7968,123,683.6115,1315,"1DY12_54.2205_-166.7968_2012-05-03 12:58_505",0,429,"5/3/2012",234044
"1797","DY14-06","191",1,"2014-06-04 9:03","DY14-06 191 1 60BON 1",0,0,2014,6,58.087,-170.069,155,111.9927,73,"DY14-06_58.087_-170.069_2014-06-04 9:03_505",0,521,"6/4/2014",228355
"1798","DY14-06","193",1,"2014-06-04 12:05","DY14-06 193 1 60BON 1",0,0,2014,6,57.8498,-170.7982,155,145.41086,84,"DY14-06_57.8498_-170.7982_2014-06-04 12:05_505",0,521,"6/4/2014",228355
"1800","DY14-06","91",1,"2014-05-27 10:18","DY14-06 91 1 60BON 1",0,0,2014,5,57.1212,-162.0702,147,92.11056,57,"DY14-06_57.1212_-162.0702_2014-05-27 10:18_505",0,521,"5/27/2014",228355
"1802","2AR09","18",2,"2009-06-29 2:13","2AR09 18 2 60BON 1",0,0,2009,6,58.02417,-170.99001,180,130.22736,84,"2AR09_58.02417_-170.99001_2009-06-29 2:13_333",0,311,"6/29/2009",225280
"1803","2DY10","14",2,"2010-05-07 17:25","2DY10 14 2 60BON 2",0,0,2010,5,55.24333,-166.27499,127,264.4682,133,"2DY10_55.24333_-166.27499_2010-05-07 17:25_500",0,370,"5/7/2010",227957
"1804","DY14-06","220",1,"2014-06-06 4:55","DY14-06 220 1 60BON 1",98.3047,142.47058,2014,6,59.1852,-171.215,157,133.36087,78,"DY14-06_59.1852_-171.215_2014-06-06 4:55_505",19,521,"6/6/2014",228355
"1805","DY14-06","30",1,"2014-05-23 9:25","DY14-06 30 1 60BON 1",0,0,2014,5,55.169,-164.7068,143,171.04295,102,"DY14-06_55.169_-164.7068_2014-05-23 9:25_505",0,521,"5/23/2014",228355
"1806","DY14-06","2",1,"2014-05-21 3:43","DY14-06 2 1 60BON 1",0,0,2014,5,54.181,-167.154,141,483.62709,1696,"DY14-06_54.181_-167.154_2014-05-21 3:43_505",0,521,"5/21/2014",228355
"1810","3MF06","1",2,"2006-05-09 8:32","3MF06 1 2 60BON 1",0,0,2006,5,53.37233,-168.72983,129,378.34634,262,"3MF06_53.37233_-168.72983_2006-05-09 8:32_505",0,442,"5/9/2006",242629
"1811","3MF06","10",2,"2006-05-10 15:08","3MF06 10 2 60BON 1",0,0,2006,5,54.21983,-167.75867,130,395.04758,1330,"3MF06_54.21983_-167.75867_2006-05-10 15:08_505",0,442,"5/10/2006",242629
