"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"226","3MF79","V010A",2,"1979-06-04 15:30","3MF79 V010A 2 60BON 1",0,0,1979,6,57.05,-165.0217,155,96.8346,68,"3MF79_57.05_-165.0217_1979-06-04 15:30_505",0,126,"6/4/1979",227682
"236","DY14-06","212",1,"2014-06-05 17:18","DY14-06 212 1 60BON 1",9.99088,10.29987,2014,6,58.2695,-172.2102,156,194.17715,103,"DY14-06_58.2695_-172.2102_2014-06-05 17:18_505",2,521,"6/5/2014",228355
"237","DY14-06","89",1,"2014-05-27 7:05","DY14-06 89 1 60BON 1",0,0,2014,5,57.359,-161.2687,147,63.60021,63,"DY14-06_57.359_-161.2687_2014-05-27 7:05_505",0,521,"5/27/2014",228355
"240","DY14-06","33",1,"2014-05-23 14:12","DY14-06 33 1 60BON 1",5.41199,6.44285,2014,5,55.2845,-164.3242,143,155.21089,96,"DY14-06_55.2845_-164.3242_2014-05-23 14:12_505",1,521,"5/23/2014",228355
"241","DY14-06","98",2,"2014-05-27 21:45","DY14-06 98 2 60BON 1",0,0,2014,5,56.9603,-164.4597,147,142.82665,70,"DY14-06_56.9603_-164.4597_2014-05-27 21:45_505",0,521,"5/27/2014",228355
"246","1TT06","9",2,"2006-04-17 9:05","1TT06 9 2 60BON 1",0,0,2006,4,57.17933,-164.24899,107,97.40667,70,"1TT06_57.17933_-164.24899_2006-04-17 9:05_333",0,442,"4/17/2006",242629
"247","1TT06","93",2,"2006-05-08 3:11","1TT06 93 2 60BON 1",104.19562,182.79934,2006,5,57.7685,-169.0455,128,92.99815,67,"1TT06_57.7685_-169.0455_2006-05-08 3:11_333",17,442,"5/8/2006",242629
"249","DY15-04","22",2,"2015-05-01 8:43","DY15-04 22 2 60BON 1",0,0,2015,5,56.7645,-164.3337,121,121.832,74,"DY15-04_56.7645_-164.3337_2015-05-01 8:43_505",0,160,"5/1/2015",221437
"250","DY15-04","25",2,"2015-05-01 14:09","DY15-04 25 2 60BON 2",0,0,2015,5,56.6687,-163.8582,121,135.259,76,"DY15-04_56.6687_-163.8582_2015-05-01 14:09_505",0,160,"5/1/2015",221437
"254","4MF03","36",2,"2003-05-21 0:23","4MF03 36 2 60BON 1",8.8793,12.33236,2003,5,56.341,-161.81467,141,243.26242,82,"4MF03_56.341_-161.81467_2003-05-21 0:23_505",3,125,"5/21/2003",255366
"259","4MF03","54",2,"2003-05-23 18:00","4MF03 54 2 60BON 1",0,0,2003,5,55.27333,-165.29834,143,180.84491,114,"4MF03_55.27333_-165.29834_2003-05-23 18:00_505",0,125,"5/23/2003",255366
"260","1AK10","19",2,"2010-06-26 4:00","1AK10 19 2 60BON 1",0,0,2010,6,56.32033,-169.98167,177,258.95743,106,"1AK10_56.32033_-169.98167_2010-06-26 4:00_333",0,370,"6/26/2010",227957
"261","1AK10","20",2,"2010-06-26 19:10","1AK10 20 2 60BON 1",0,0,2010,6,55.98183,-167.61983,177,319.7887,129,"1AK10_55.98183_-167.61983_2010-06-26 19:10_333",0,370,"6/26/2010",227957
"262","1AK10","5",2,"2010-06-11 4:29","1AK10 5 2 60BON 1",1162.79577,2768.56136,2010,6,57.99183,-161.532,162,158.20491,52,"1AK10_57.99183_-161.532_2010-06-11 4:29_333",438,370,"6/11/2010",227957
"266","1DY09","27",1,"2009-03-04 2:35","1DY09 27 1 60BON 1",0,0,2009,3,54.90267,-166.4655,63,233.11176,154,"1DY09_54.90267_-166.4655_2009-03-04 2:35_505",0,311,"3/4/2009",225280
"267","1AR08","3",1,"2008-06-06 2:46","1AR08 3 1 60BON 1",46.16632,107.36354,2008,6,57.3,-160.43333,157,83.82734,54,"1AR08_57.3_-160.43333_2008-06-06 2:46_333",9,331,"6/6/2008",227649
"268","1AR09","1",2,"2009-06-05 3:40","1AR09 1 2 60BON 2",118.42124,215.31134,2009,6,57.33633,-160.92867,156,153.26643,58,"1AR09_57.33633_-160.92867_2009-06-05 3:40_333",33,311,"6/5/2009",225280
"269","1AR09","9",2,"2009-06-17 0:46","1AR09 9 2 60BON 1",5.29049,4.06961,2009,6,55.65367,-166.99783,168,245.72372,132,"1AR09_55.65367_-166.99783_2009-06-17 0:46_333",1,311,"6/17/2009",225280
"270","1DY11","5",2,"2011-05-21 11:37","1DY11 5 2 60BON 1",0,0,2011,5,60.09884,-173.31267,141,154.0036,73,"1DY11_60.09884_-173.31267_2011-05-21 11:37_333",0,208,"5/21/2011",232110
"271","1DY11","61",2,"2011-05-27 22:56","1DY11 61 2 60BON 1",0,0,2011,5,54.452,-164.97983,147,158.72949,57,"1DY11_54.452_-164.97983_2011-05-27 22:56_333",0,208,"5/27/2011",232110
