"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff","domain","regime"
"1531",4313,"DY14-05",60,2,"2014-05-12 0:26","DY14-05 60 2 60BON 2",5.98317,9.20487,2014,5,59.9052,-171.2605,132,108.63813,72,"DY14-05_59.9052_-171.2605_2014-05-12 0:26_505",1,521,"2014-05-12",2978000,"DY14-05_60_2",-0.2357,31.2418181818182,"2014-05-12","DY14-05_60_2","26",0,"Middle","Warm2"
"1629",4565,"DY15-04",47,2,"2015-05-03 13:42","DY15-04 47 2 60BON 1",2013.13137,3412.08706,2015,5,57.93,-169.3283,123,116.058,68,"DY15-04_57.93_-169.3283_2015-05-03 13:42_505",396,160,"2015-05-03",3100000,"DY15-04_47_2",1.14562727272727,31.8092181818182,"2015-05-03","DY15-04_47_2","1342",0,"Middle","Warm2"
"1818",4993,"DY16-06",42,2,"2016-05-07 23:12","DY16-06 42 2 60BON 1",367.73719,612.89532,2016,5,59.251,-170.4108,127,138.686,67,"DY16-06_59.251_-170.4108_2016-05-07 23:12_333",85,409,"2016-05-07",3975000,"DY16-06_42_2",2.91178181818182,32.1574727272727,"2016-05-07","DY16-06_42_2","2312",0,"Middle","Warm2"
"1819",4995,"DY16-06",46,2,"2016-05-08 4:19","DY16-06 46 2 60BON 1",0,0,2016,5,59.7218,-171.1303,128,117.126,72,"DY16-06_59.7218_-171.1303_2016-05-08 4:19_333",0,409,"2016-05-08",3975000,"DY16-06_46_2",1.55057272727273,31.7726272727273,"2016-05-08","DY16-06_46_2","419",0,"Middle","Warm2"
"1842",5028,"DY16-06",47,2,"2016-05-08 5:52","DY16-06 47 2 60BON 1",0,0,2016,5,59.7055,-171.4857,128,139.909,75,"DY16-06_59.7055_-171.4857_2016-05-08 5:52_333",0,409,"2016-05-08",3975000,"DY16-06_47_2",1.67526363636364,31.8945545454545,"2016-05-08","DY16-06_47_2","552",0,"Middle","Warm2"
"1843",5029,"DY16-06",48,2,"2016-05-08 7:31","DY16-06 48 2 60BON 1",10.1626,17.52173,2016,5,59.898,-171.2492,128,114.144,72,"DY16-06_59.898_-171.2492_2016-05-08 7:31_333",2,409,"2016-05-08",3975000,"DY16-06_48_2",1.53232727272727,31.7129181818182,"2016-05-08","DY16-06_48_2","731",0,"Middle","Warm2"
"1865",5051,"DY16-06",49,5,"2016-05-08 10:57","DY16-06 49 5 60BON 1",0,0,2016,5,59.8905,-171.7037,128,107.034,71,"DY16-06_59.8905_-171.7037_2016-05-08 10:57_333",0,409,"2016-05-08",3975000,"DY16-06_49_5",0.654809090909091,31.5868454545455,"2016-05-08","DY16-06_49_5","1057",0,"Middle","Warm2"
"1866",5052,"DY16-06",50,2,"2016-05-08 13:48","DY16-06 50 2 60BON 1",7.28165,13.48454,2016,5,60.0732,-172.0062,128,74.159,64,"DY16-06_60.0732_-172.0062_2016-05-08 13:48_333",1,409,"2016-05-08",3975000,"DY16-06_50_2",-0.1735,31.0966,"2016-05-08","DY16-06_50_2","1348",0,"Middle","Warm2"
"1867",5053,"DY16-06",51,2,"2016-05-08 15:50","DY16-06 51 2 60BON 1",0,0,2016,5,59.9032,-172.1575,128,78.288,74,"DY16-06_59.9032_-172.1575_2016-05-08 15:50_333",0,409,"2016-05-08",3975000,"DY16-06_51_2",0.3854,31.2067454545455,"2016-05-08","DY16-06_51_2","1550",0,"Middle","Warm2"
"1894",5084,"DY16-06",52,2,"2016-05-08 17:15","DY16-06 52 2 60BON 1",0,0,2016,5,59.9155,-172.4233,128,85.627,74,"DY16-06_59.9155_-172.4233_2016-05-08 17:15_333",0,409,"2016-05-08",3975000,"DY16-06_52_2",0.167327272727273,31.1618090909091,"2016-05-08","DY16-06_52_2","1547",0,"Middle","Warm2"
"1900",5093,"DY16-06",56,2,"2016-05-08 23:12","DY16-06 56 2 60BON 1",0,0,2016,5,60.2513,-173.5178,128,90.979,70,"DY16-06_60.2513_-173.5178_2016-05-08 23:12_333",0,409,"2016-05-08",3975000,"DY16-06_56_2",-1.01144545454545,30.9787090909091,"2016-05-08","DY16-06_56_2","2312",0,"Middle","Warm2"
"2114",5515,"DY14-05",62,2,"2014-05-12 2:39","DY14-05 62 2 60BON 1",0,0,2014,5,59.702,-171.4945,132,120.48886,75,"DY14-05_59.702_-171.4945_2014-05-12 2:39_505",0,521,"2014-05-12",2978000,"DY14-05_62_2",-0.233281818181818,31.3953727272727,"2014-05-12","DY14-05_62_2","239",0,"Middle","Warm2"
