"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date"
"1244","4MF07","27",2,"5/11/2007 4:12:00","4MF07 27 2 60BON 1",0,0,2007,5,56.19,-169.63451,131,415.08493,353,"4MF07_56.19_-169.63451_5/11/2007 4:12:00_505",0,279,"5/11/2007"
"1250","1OM01","14",3,"7/23/2001 10:24:00","1OM01 14 3 60BON 1",0,0,2001,7,56.98267,-168.98683,204,13.98009,82,"1OM01_56.98267_-168.98683_7/23/2001 10:24:00_333",0,9,"7/23/2001"
"1251","1OM05","11",2,"7/17/2005 7:55:00","1OM05 11 2 60BON 1",0,0,2005,7,57.00633,-166.98584,198,105.32934,65,"1OM05_57.00633_-166.98584_7/17/2005 7:55:00_333",0,148,"7/17/2005"
"1252","1OM05","12",2,"7/17/2005 12:53:00","1OM05 12 2 60BON 1",0,0,2005,7,56.5025,-167.99617,198,211.25995,116,"1OM05_56.5025_-167.99617_7/17/2005 12:53:00_333",0,148,"7/17/2005"
"1253","4MF07","58",3,"5/14/2007 2:57:00","4MF07 58 3 60BON 1",0,0,2007,5,56.13283,-172.47017,134,614.62067,3027,"4MF07_56.13283_-172.47017_5/14/2007 2:57:00_505",0,279,"5/14/2007"
"1254","4MF94","139",5,"4/27/1994 19:31:00","4MF94 139 5 60BON 1",0,0,1994,4,54.77167,-165.0117,117,90.48443,70,"4MF94_54.77167_-165.0117_4/27/1994 19:31:00_333",0,145,"4/27/1994"
"1255","4MF94","151",7,"4/29/1994 17:48:00","4MF94 151 7 60BON 1",0,0,1994,4,53.7,-167.36,119,140.97701,107,"4MF94_53.7_-167.36_4/29/1994 17:48:00_333",0,145,"4/29/1994"
"1256","4MF07","37",2,"5/12/2007 2:35:00","4MF07 37 2 60BON 1",0,0,2007,5,56.28867,-170.21967,132,148.07115,113,"4MF07_56.28867_-170.21967_5/12/2007 2:35:00_505",0,279,"5/12/2007"
"1257","4WE97","3",2,"7/1/1997 20:26:00","4WE97 3 2 60BON 1",0,0,1997,7,53.51534,-168.92366,182,396.59174,385,"4WE97_53.51534_-168.92366_7/1/1997 20:26:00_333",0,132,"7/1/1997"
"1258","4WE97","31",2,"7/4/1997 6:46:00","4WE97 31 2 60BON 1",0,0,1997,7,57.0185,-164.21333,185,93.22793,68,"4WE97_57.0185_-164.21333_7/4/1997 6:46:00_333",0,132,"7/4/1997"
"1259","4WE97","40",2,"7/5/1997 6:07:00","4WE97 40 2 60BON 1",0,0,1997,7,57.32433,-170.14301,186,90.09338,54,"4WE97_57.32433_-170.14301_7/5/1997 6:07:00_333",0,132,"7/5/1997"
"1260","4MF94","142",2,"4/28/1994 3:34:00","4MF94 142 2 60BON 1",0,0,1994,4,54.63333,-165.4633,118,405.5155,202,"4MF94_54.63333_-165.4633_4/28/1994 3:34:00_333",0,145,"4/28/1994"
"1261","4MF07","46",2,"5/12/2007 22:13:00","4MF07 46 2 60BON 1",0,0,2007,5,56.98517,-168.95033,132,125.56316,79,"4MF07_56.98517_-168.95033_5/12/2007 22:13:00_505",0,279,"5/12/2007"
"1262","4MF07","49",2,"5/13/2007 3:52:00","4MF07 49 2 60BON 1",30.52984,45.56692,2007,5,57.206,-169.17383,133,87.78297,78,"4MF07_57.206_-169.17383_5/13/2007 3:52:00_505",4,279,"5/13/2007"
"1263","2DY10","23",3,"5/8/2010 15:15:00","2DY10 23 3 60BON 2",0,0,2010,5,54.925,-165.47116,128,233.35623,127,"2DY10_54.925_-165.47116_5/8/2010 15:15:00_500",0,240,"5/8/2010"
"1264","2DY10","26",2,"5/8/2010 23:09:00","2DY10 26 2 60BON 2",0,0,2010,5,55.4835,-165.50783,128,206.98695,115,"2DY10_55.4835_-165.50783_5/8/2010 23:09:00_500",0,240,"5/8/2010"
"1265","DY14-06","173",1,"6/3/2014 6:44:00","DY14-06 173 1 60BON 2",0,0,2014,6,57.309,-169.763,154,98.52949,53,"DY14-06_57.309_-169.763_6/3/2014 6:44:00_505",0,301,"6/3/2014"
"1268","2DY12","144",1,"5/27/2012 16:04:00","2DY12 144 1 60BON 1",0,0,2012,5,56.98767,-168.9527,147,159.512,81,"2DY12_56.98767_-168.9527_5/27/2012 16:04:00_505",0,299,"5/27/2012"
"1273","5MF05","57",2,"5/16/2005 2:19:00","5MF05 57 2 60BON 1",0,0,2005,5,56.19733,-163.19917,136,100.53966,85,"5MF05_56.19733_-163.19917_5/16/2005 2:19:00_505",0,148,"5/16/2005"
"1274","4WE97","93",2,"7/9/1997 7:20:00","4WE97 93 2 60BON 1",0,0,1997,7,56.70984,-169.60117,190,118.75605,80,"4WE97_56.70984_-169.60117_7/9/1997 7:20:00_333",0,132,"7/9/1997"
"1275","4MF07","51",2,"5/13/2007 7:57:00","4MF07 51 2 60BON 1",0,0,2007,5,56.9715,-169.91834,133,84.77613,66,"4MF07_56.9715_-169.91834_5/13/2007 7:57:00_505",0,279,"5/13/2007"
"1276","4MF94","65",1,"4/21/1994 13:25:00","4MF94 65 1 60BON 1",0,0,1994,4,54.94167,-168.11,111,272.60861,1652,"4MF94_54.94167_-168.11_4/21/1994 13:25:00_333",0,145,"4/21/1994"
"1277","3DY09","60",2,"5/15/2009 3:58:00","3DY09 60 2 60BON 1",0,0,2009,5,55.17167,-164.71417,135,182.92595,102,"3DY09_55.17167_-164.71417_5/15/2009 3:58:00_505",0,189,"5/15/2009"
"1278","1OM05","10",2,"7/17/2005 4:10:00","1OM05 10 2 60BON 1",0,0,2005,7,57.52983,-166.96683,198,109.61982,68,"1OM05_57.52983_-166.96683_7/17/2005 4:10:00_333",0,148,"7/17/2005"
"1279","3MF02","38",2,"5/16/2002 12:54:00","3MF02 38 2 60BON 1",0,0,2002,5,54.78817,-166.83516,136,452.75794,297,"3MF02_54.78817_-166.83516_5/16/2002 12:54:00_505",0,150,"5/16/2002"
"1285","3DY08","49",2,"5/19/2008 13:04:00","3DY08 49 2 60BON 1",0,0,2008,5,55.72617,-164.74834,139,144.94484,98,"3DY08_55.72617_-164.74834_5/19/2008 13:04:00_335",0,231,"5/19/2008"
"1286","3DY08","51",2,"5/19/2008 16:46:00","3DY08 51 2 60BON 1",0,0,2008,5,55.28567,-164.32916,139,176.36156,97,"3DY08_55.28567_-164.32916_5/19/2008 16:46:00_335",0,231,"5/19/2008"
"1289","3DY08","11",3,"5/14/2008 6:24:00","3DY08 11 3 60BON 1",0,0,2008,5,54.41733,-165.15649,134,267.92438,157,"3DY08_54.41733_-165.15649_5/14/2008 6:24:00_335",0,231,"5/14/2008"
"1290","DY14-06","235",1,"6/7/2014 9:29:00","DY14-06 235 1 60BON 1",4.64226,4.4212,2014,6,57.1505,-172.0375,158,226.18299,114,"DY14-06_57.1505_-172.0375_6/7/2014 9:29:00_505",1,301,"6/7/2014"
"1293","3MF07","47",1,"4/24/2007 15:05:00","3MF07 47 1 60BON 1",0,0,2007,4,57.00083,-163.89967,114,69.74257,67,"3MF07_57.00083_-163.89967_4/24/2007 15:05:00_505",0,279,"4/24/2007"
"1294","3MF07","50",1,"4/24/2007 20:14:00","3MF07 50 1 60BON 1",6.11638,16.09573,2007,4,57.6375,-163.28149,114,62.12826,48,"3MF07_57.6375_-163.28149_4/24/2007 20:14:00_505",1,279,"4/24/2007"
"1295","5MF05","138",1,"5/20/2005 9:48:00","5MF05 138 1 60BON 1",0,0,2005,5,55.58983,-166.07651,140,170.41664,123,"5MF05_55.58983_-166.07651_5/20/2005 9:48:00_505",0,148,"5/20/2005"
"1297","2MF92","G008A",1,"4/17/1992 9:07:00","2MF92 G008A 1 60BON 1",0,0,1992,4,54.46167,-167.815,107,152.44092,962,"2MF92_54.46167_-167.815_4/17/1992 9:07:00_333",0,36,"4/17/1992"
"1298","2MF92","G015A",1,"4/17/1992 17:42:00","2MF92 G015A 1 60BON 1",0,0,1992,4,54.045,-169.03999,107,149.57782,2025,"2MF92_54.045_-169.03999_4/17/1992 17:42:00_333",0,36,"4/17/1992"
"1299","2MF92","G022A",1,"4/18/1992 2:05:00","2MF92 G022A 1 60BON 1",0,0,1992,4,54.35333,-168.68671,108,144.31671,1736,"2MF92_54.35333_-168.68671_4/18/1992 2:05:00_333",0,36,"4/18/1992"
"1300","2MF92","G024A",1,"4/18/1992 4:30:00","2MF92 G024A 1 60BON 1",0,0,1992,4,54.18667,-169.1833,108,134.11704,2000,"2MF92_54.18667_-169.1833_4/18/1992 4:30:00_333",0,36,"4/18/1992"
"1301","2MF92","G029A",1,"4/18/1992 11:02:00","2MF92 G029A 1 60BON 1",0,0,1992,4,54.72333,-168.72,108,161.46062,2004,"2MF92_54.72333_-168.72_4/18/1992 11:02:00_333",0,36,"4/18/1992"
"1302","2MF92","G036A",1,"4/18/1992 19:16:00","2MF92 G036A 1 60BON 1",0,0,1992,4,54.87167,-168.86,108,178.18358,2400,"2MF92_54.87167_-168.86_4/18/1992 19:16:00_333",0,36,"4/18/1992"
"1303","DY14-05","7",2,"5/7/2014 21:48:00","DY14-05 7 2 60BON 1",4.23667,3.36244,2014,5,54.4242,-165.1518,127,297.40342,139,"DY14-05_54.4242_-165.1518_5/7/2014 21:48:00_505",1,301,"5/7/2014"
"1304","5MF05","2",3,"5/10/2005 8:01:00","5MF05 2 3 60BON 1",33.37201,21.39231,2005,5,54.37366,-165.25717,130,233.72881,165,"5MF05_54.37366_-165.25717_5/10/2005 8:01:00_505",5,148,"5/10/2005"
"1306","5MF05","4",3,"5/10/2005 10:39:00","5MF05 4 3 60BON 1",5.13923,12.5347,2005,5,54.461,-165.01199,130,79.77855,50,"5MF05_54.461_-165.01199_5/10/2005 10:39:00_505",1,148,"5/10/2005"
"1307","3MF02","52",2,"5/17/2002 22:02:00","3MF02 52 2 60BON 1",0,0,2002,5,56.5255,-164.0215,137,96.62846,84,"3MF02_56.5255_-164.0215_5/17/2002 22:02:00_505",0,150,"5/17/2002"
