Year,Species,SSB,Source
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
1976,walleye pollock,903000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1977,walleye pollock,949000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1978,walleye pollock,977000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1979,walleye pollock,975000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1980,walleye pollock,1126000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1981,walleye pollock,1820000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1982,walleye pollock,2712000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1983,walleye pollock,3341000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1984,walleye pollock,3601000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1985,walleye pollock,3866000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1986,walleye pollock,4057000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1987,walleye pollock,4123000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1988,walleye pollock,4032000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1989,walleye pollock,3552000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1990,walleye pollock,2810000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1991,walleye pollock,2075000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1992,walleye pollock,2213000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1993,walleye pollock,3123000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1994,walleye pollock,3472000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1995,walleye pollock,3669000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1996,walleye pollock,3688000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1997,walleye pollock,3521000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
