"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff"
"13",43,"4MF07",30,3,"2007-05-11 11:11","4MF07 30 3 60BON 1",0,0,2007,5,56.54583,-168.51849,131,172.10297,110,"4MF07_56.54583_-168.51849_2007-05-11 11:11_505",0,446,"2007-05-11",234261,"4MF07_30_3",2.25953636363636,31.9679545454545,"2007-05-11","4MF07_30_3","1059",0
"14",51,"5MF00",45,1,"2000-05-11 12:23","5MF00 45 1 60BON 1",0,0,2000,5,56.42433,-163.41667,131,121.33609,85,"5MF00_56.42433_-163.41667_2000-05-11 12:23_333",0,54,"2000-05-11",248451,"5MF00_45_1",1.6211,31.96493,"2000-05-11","5MF00_45_1","1223",0
"15",58,"1BE11",12,1,"2011-08-24 12:28","1BE11 12 1 60BON 1",0,0,2011,8,59,-171.001,236,116.82197,77,"1BE11_59_-171.001_2011-08-24 12:28_505",0,208,"2011-08-24",232110,"1BE11_12_1",7.89,31.0163636363636,"2011-08-24","1BE11_12_1","1200",0
"16",59,"3DY12",18,1,"2012-08-23 5:36","3DY12 18 1 60BON 1",0,0,2012,8,57.99683,-163.007,235,111.2812,41,"3DY12_57.99683_-163.007_2012-08-23 5:36_505",0,429,"2012-08-23",234044,"3DY12_18_1",7.36483636363636,31.1642181818182,"2012-08-23","3DY12_18_1","2236",0
"17",60,"3DY12",184,2,"2012-09-23 9:49","3DY12 184 2 60BON 1",0,0,2012,9,57.10917,-165.6165,266,162.7471,71,"3DY12_57.10917_-165.6165_2012-09-23 9:49_505",0,429,"2012-09-23",234044,"3DY12_184_2",5.48773636363636,31.4811181818182,"2012-09-23","3DY12_184_2","249",0
"18",64,"1BE11",33,1,"2011-09-02 7:58","1BE11 33 1 60BON 1",0,0,2011,9,61.5,-171.081,245,69.49952,51,"1BE11_61.5_-171.081_2011-09-02 7:58_505",0,208,"2011-09-02",232110,"1BE11_33_1",6.76363636363636,30.9345454545455,"2011-09-02","1BE11_33_1","1532",0
"19",65,"1BE11",4,1,"2011-08-22 8:54","1BE11 4 1 60BON 1",0,0,2011,8,57.002,-171.007,234,90.10725,104,"1BE11_57.002_-171.007_2011-08-22 8:54_505",0,208,"2011-08-22",232110,"1BE11_4_1",8.51090909090909,31.8854545454545,"2011-08-22","1BE11_4_1","1535",0
"20",66,"3DY12",186,2,"2012-09-23 13:03","3DY12 186 2 60BON 1",0,0,2012,9,56.85283,-165.128,266,131.5684,75,"3DY12_56.85283_-165.128_2012-09-23 13:03_505",0,429,"2012-09-23",234044,"3DY12_186_2",5.051,31.5069909090909,"2012-09-23","3DY12_186_2","603",0
"21",69,"2DY12",38,1,"2012-05-19 13:54","2DY12 38 1 60BON 1",0,0,2012,5,55.9475,-164.958,139,176.2998,97,"2DY12_55.9475_-164.958_2012-05-19 13:54_505",0,429,"2012-05-19",234044,"2DY12_38_1",1.18093636363636,31.8602727272727,"2012-05-19","2DY12_38_1","1350",0
"22",74,"2DY12",89,1,"2012-05-23 6:35","2DY12 89 1 60BON 1",0,0,2012,5,56.682,-161.6287,143,103.9513,89,"2DY12_56.682_-161.6287_2012-05-23 6:35_505",0,429,"2012-05-23",234044,"2DY12_89_1",1.76856363636364,31.4617454545455,"2012-05-23","2DY12_89_1","629",0
