"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link"
"381",1491,"1MF99",29,1,"1999-04-16 6:54","1MF99 29 1 60BON 1",0,0,1999,4,55.2655,-165.3028,106,138.28066,117,"1MF99_55.2655_-165.3028_1999-04-16 6:54_505",0,112,"4/16/1999",246131,"1MF99_29_1",2.00683,32.09354,"4/16/1999","1MF99_29_1"
"382",1493,"1MF99",44,1,"1999-04-17 23:02","1MF99 44 1 60BON 1",0,0,1999,4,56.87433,-164.054,107,108.31873,73,"1MF99_56.87433_-164.054_1999-04-17 23:02_505",0,112,"4/17/1999",246131,"1MF99_44_1",-0.21423,31.93569,"4/17/1999","1MF99_44_1"
"383",1494,"2MF98",11,1,"1998-04-10 0:50","2MF98 11 1 60BON 1",0,0,1998,4,55.1865,-163.7278,100,159.79727,48,"2MF98_55.1865_-163.7278_1998-04-10 0:50_505",0,16,"4/10/1998",244951,"2MF98_11_1",2.92305454545455,31.5523727272727,"4/10/1998","2MF98_11_1"
"384",1508,"DY13-05",31,1,"2013-05-05 13:50","DY13-05 31 1 60BON 1",71.37646,104.96538,2013,5,56.8718,-164.0428,125,123.85036,73,"DY13-05_56.8718_-164.0428_2013-05-05 13:50_500",13,63,"5/5/2013",234526,"DY13-05_31_1",-0.855290909090909,31.4982181818182,"5/5/2013","DY13-05_31_1"
"386",1512,"1DY12",68,2,"2012-05-09 1:59","1DY12 68 2 60BON 1",286.66014,434.33355,2012,5,57.022,-164.2222,129,115.1189,69,"1DY12_57.022_-164.2222_2012-05-09 1:59_505",50,429,"5/9/2012",234044,"1DY12_68_2",-0.872845454545455,31.3769454545455,"5/9/2012","1DY12_68_2"
"389",1523,"DY13-05",37,2,"2013-05-07 10:42","DY13-05 37 2 60BON 1",32.28072,50.43862,2013,5,57.6536,-169.0203,127,118.95646,70,"DY13-05_57.6536_-169.0203_2013-05-07 10:42_500",6,63,"5/7/2013",234526,"DY13-05_37_2",-0.590781818181818,31.4977,"5/7/2013","DY13-05_37_2"
"390",1526,"1DY12",63,2,"2012-05-05 20:37","1DY12 63 2 60BON 1",0,0,2012,5,54.70917,-165.2678,125,144.963,135,"1DY12_54.70917_-165.2678_2012-05-05 20:37_505",0,429,"5/5/2012",234044,"1DY12_63_2",1.55945454545455,31.8474181818182,"5/5/2012","1DY12_63_2"
"392",1545,"5MF05",137,1,"2005-05-20 7:56","5MF05 137 1 60BON 1",0,0,2005,5,55.46467,-166.46516,140,169.81111,132,"5MF05_55.46467_-166.46516_2005-05-20 7:56_505",0,283,"5/20/2005",249168,"5MF05_137_1",4.92273,32.02868,"5/20/2005","5MF05_137_1"
"393",1551,"2DY10",58,2,"2010-05-11 19:53","2DY10 58 2 60BON 2",29.60768,41.70096,2010,5,56.10067,-162.60083,131,143.88159,80,"2DY10_56.10067_-162.60083_2010-05-11 19:53_500",6,370,"5/11/2010",227957,"2DY10_58_2",1.32223636363636,31.3966818181818,"5/11/2010","2DY10_58_2"
"394",1555,"2DY08",5,1,"2008-05-07 22:00","2DY08 5 1 60BON 1",341.49002,533.57815,2008,5,57.01767,-164.21783,127,127.4415,70,"2DY08_57.01767_-164.21783_2008-05-07 22:00_333",68,331,"5/7/2008",227649,"2DY08_5_1",-1.03266363636364,31.6365090909091,"5/7/2008","2DY08_5_1"
"395",1564,"2DY12",120,1,"2012-05-25 13:31","2DY12 120 1 60BON 1",399.10844,570.15491,2012,5,56.907,-167.394,145,150.8362,80,"2DY12_56.907_-167.394_2012-05-25 13:31_505",86,429,"5/25/2012",234044,"2DY12_120_1",0.323881818181818,31.1503636363636,"5/25/2012","2DY12_120_1"
"396",1570,"3MF02",47,2,"2002-05-17 9:39","3MF02 47 2 60BON 1",36.43973,44.98733,2002,5,55.9835,-162.98233,137,155.59938,90,"3MF02_55.9835_-162.98233_2002-05-17 9:39_505",7,236,"5/17/2002",255755,"3MF02_47_2",4.67715454545455,31.8735636363636,"5/17/2002","3MF02_47_2"
"397",1573,"2DY12",4,1,"2012-05-17 9:03","2DY12 4 1 60BON 1",0,0,2012,5,56.3465,-167.3352,137,243.3812,120,"2DY12_56.3465_-167.3352_2012-05-17 9:03_505",0,429,"5/17/2012",234044,"2DY12_4_1",0.887963636363636,31.8345090909091,"5/17/2012","2DY12_4_1"
"398",1574,"2DY12",90,1,"2012-05-23 8:04","2DY12 90 1 60BON 1",2891.98711,4740.96247,2012,5,56.46133,-161.4122,143,90.0661,70,"2DY12_56.46133_-161.4122_2012-05-23 8:04_505",427,429,"5/23/2012",234044,"2DY12_90_1",2.14071818181818,31.4299636363636,"5/23/2012","2DY12_90_1"
"399",1576,"5MF05",7,3,"2005-05-10 20:49","5MF05 7 3 60BON 1",0,0,2005,5,55.28783,-164.32883,130,135.24977,96,"5MF05_55.28783_-164.32883_2005-05-10 20:49_505",0,283,"5/10/2005",249168,"5MF05_7_3",4.69338,31.82453,"5/10/2005","5MF05_7_3"
"400",1578,"3MF02",48,2,"2002-05-17 11:35","3MF02 48 2 60BON 1",0,0,2002,5,56.10117,-162.59151,137,127.94523,84,"3MF02_56.10117_-162.59151_2002-05-17 11:35_505",0,236,"5/17/2002",255755,"3MF02_48_2",4.76105454545455,31.9263363636364,"5/17/2002","3MF02_48_2"
"401",1579,"3MF02",27,2,"2002-05-15 10:39","3MF02 27 2 60BON 1",0,0,2002,5,55.52667,-163.5535,135,61.57502,79,"3MF02_55.52667_-163.5535_2002-05-15 10:39_505",0,236,"5/15/2002",255755,"3MF02_27_2",4.49286363636364,31.9098181818182,"5/15/2002","3MF02_27_2"
"402",1582,"2DY12",197,1,"2012-06-01 11:51","2DY12 197 1 60BON 1",0,0,2012,6,56.61234,-171.0225,152,237.668,121,"2DY12_56.61234_-171.0225_2012-06-01 11:51_505",0,429,"6/1/2012",234044,"2DY12_197_1",2.45879090909091,32.0796181818182,"6/1/2012","2DY12_197_1"
"403",1585,"1MF99",42,1,"1999-04-17 19:41","1MF99 42 1 60BON 1",0,0,1999,4,56.52433,-164.01601,107,138.47374,82,"1MF99_56.52433_-164.01601_1999-04-17 19:41_505",0,112,"4/17/1999",246131,"1MF99_42_1",0.993911111111111,31.9470666666667,"4/17/1999","1MF99_42_1"
"405",1594,"2DY12",69,1,"2012-05-21 21:43","2DY12 69 1 60BON 1",95.06183,144.03307,2012,5,56.64,-163.6268,141,138.857,77,"2DY12_56.64_-163.6268_2012-05-21 21:43_505",20,429,"5/21/2012",234044,"2DY12_69_1",1.79436363636364,31.1872818181818,"5/21/2012","2DY12_69_1"
"406",1595,"2DY12",71,1,"2012-05-22 0:36","2DY12 71 1 60BON 1",98.74973,129.93386,2012,5,56.201,-163.1985,142,130.8358,85,"2DY12_56.201_-163.1985_2012-05-22 0:36_505",17,429,"5/22/2012",234044,"2DY12_71_1",2.63286363636364,31.2604181818182,"5/22/2012","2DY12_71_1"
"407",1596,"DY14-05",19,8,"2014-05-09 11:20","DY14-05 19 8 60BON 2",11.05365,17.54548,2014,5,56.875,-164.0467,129,113.98948,72,"DY14-05_56.875_-164.0467_2014-05-09 11:20_505",2,521,"5/9/2014",228355,"DY14-05_19_8",4.10191818181818,31.9215636363636,"5/9/2014","DY14-05_19_8"
"408",1598,"2DY12",49,1,"2012-05-20 7:35","2DY12 49 1 60BON 1",21.03779,29.63068,2012,5,56.50483,-165.0017,140,134.9952,81,"2DY12_56.50483_-165.0017_2012-05-20 7:35_505",4,429,"5/20/2012",234044,"2DY12_49_1",0.721718181818182,31.2574636363636,"5/20/2012","2DY12_49_1"
"409",1599,"2DY12",50,1,"2012-05-20 9:07","2DY12 50 1 60BON 1",90.13649,134.53208,2012,5,56.626,-164.6202,140,104.0644,77,"2DY12_56.626_-164.6202_2012-05-20 9:07_505",14,429,"5/20/2012",234044,"2DY12_50_1",0.366009090909091,31.1179545454545,"5/20/2012","2DY12_50_1"
"410",1600,"DY14-05",36,2,"2014-05-10 12:24","DY14-05 36 2 60BON 1",5.158,8.31935,2014,5,57.5032,-167.3388,130,120.20173,71,"DY14-05_57.5032_-167.3388_2014-05-10 12:24_505",1,521,"5/10/2014",228355,"DY14-05_36_2",3.56504545454545,32.1283636363636,"5/10/2014","DY14-05_36_2"
"411",1602,"2MF98",18,2,"1998-04-11 4:38","2MF98 18 2 60BON 1",0,0,1998,4,55.62767,-164.15981,101,173.07181,96,"2MF98_55.62767_-164.15981_1998-04-11 4:38_505",0,16,"4/11/1998",244951,"2MF98_18_2",3.06903636363636,31.6735363636364,"4/11/1998","2MF98_18_2"
"412",1603,"3MF06",61,2,"2006-05-16 3:24","3MF06 61 2 60BON 1",0,0,2006,5,55.96833,-163.96033,136,146.29067,92,"3MF06_55.96833_-163.96033_2006-05-16 3:24_505",0,442,"5/16/2006",242629,"3MF06_61_2",2.90530909090909,31.9250181818182,"5/16/2006","3MF06_61_2"
"413",1604,"3MF06",67,3,"2006-05-16 16:03","3MF06 67 3 60BON 2",35.79182,74.56628,2006,5,55.7525,-162.76849,136,93.87621,58,"3MF06_55.7525_-162.76849_2006-05-16 16:03_505",7,442,"5/16/2006",242629,"3MF06_67_3",3.19872727272727,31.7837909090909,"5/16/2006","3MF06_67_3"
"414",1605,"3MF06",80,3,"2006-05-17 18:16","3MF06 80 3 60BON 1",173.32472,304.07845,2006,5,56.45833,-161.43601,137,92.0815,68,"3MF06_56.45833_-161.43601_2006-05-17 18:16_505",28,442,"5/17/2006",242629,"3MF06_80_3",2.9699,31.7866363636364,"5/17/2006","3MF06_80_3"
"415",1606,"3MF06",88,2,"2006-05-18 9:02","3MF06 88 2 60BON 1",633.28251,1091.8664,2006,5,57.039,-160.43517,138,92.50216,66,"3MF06_57.039_-160.43517_2006-05-18 9:02_505",101,442,"5/18/2006",242629,"3MF06_88_2",1.52963636363636,31.8838454545455,"5/18/2006","3MF06_88_2"
"416",1608,"3MF02",40,2,"2002-05-16 17:15","3MF02 40 2 60BON 1",0,0,2002,5,55.02883,-166.07016,136,201.70494,141,"3MF02_55.02883_-166.07016_2002-05-16 17:15_505",0,236,"5/16/2002",255755,"3MF02_40_2",4.53111818181818,31.9663363636364,"5/16/2002","3MF02_40_2"
"417",1609,"3MF06",89,2,"2006-05-18 10:55","3MF06 89 2 60BON 1",1452.94104,2848.904,2006,5,56.82017,-160.21401,138,98.28341,62,"3MF06_56.82017_-160.21401_2006-05-18 10:55_505",280,442,"5/18/2006",242629,"3MF06_89_2",2.12943636363636,31.6751909090909,"5/18/2006","3MF06_89_2"
"418",1610,"3MF06",90,2,"2006-05-18 12:47","3MF06 90 2 60BON 1",1332.38615,3330.96536,2006,5,56.60483,-159.99516,138,123.98808,46,"3MF06_56.60483_-159.99516_2006-05-18 12:47_505",413,442,"5/18/2006",242629,"3MF06_90_2",2.74720909090909,31.3437909090909,"5/18/2006","3MF06_90_2"
"419",1611,"3MF02",43,2,"2002-05-16 23:54","3MF02 43 2 60BON 1",0,0,2002,5,55.38467,-164.92867,136,84.69564,110,"3MF02_55.38467_-164.92867_2002-05-16 23:54_505",0,236,"5/16/2002",255755,"3MF02_43_2",4.66537272727273,31.9559454545455,"5/16/2002","3MF02_43_2"
"420",1612,"2DY12",110,2,"2012-05-24 17:34","2DY12 110 2 60BON 1",2510.57693,4736.93761,2012,5,57.00017,-162.4698,144,52.3545,63,"2DY12_57.00017_-162.4698_2012-05-24 17:34_505",248,429,"5/24/2012",234044,"2DY12_110_2",-0.0119272727272727,31.5202,"5/24/2012","2DY12_110_2"
"421",1613,"2DY12",111,1,"2012-05-24 19:01","2DY12 111 1 60BON 1",501.95375,896.34599,2012,5,56.88467,-162.8507,144,142.802,66,"2DY12_56.88467_-162.8507_2012-05-24 19:01_505",128,429,"5/24/2012",234044,"2DY12_111_1",1.73572727272727,31.2765727272727,"5/24/2012","2DY12_111_1"
"423",1615,"DY14-06",16,1,"2014-05-22 6:56","DY14-06 16 1 60BON 1",4.59395,4.17632,2014,5,55.1477,-165.6873,142,239.44553,123,"DY14-06_55.1477_-165.6873_2014-05-22 6:56_505",1,521,"5/22/2014",228355,"DY14-06_16_1",6.00867272727273,31.6112818181818,"5/22/2014","DY14-06_16_1"
"424",1621,"3DY09",66,2,"2009-05-15 15:47","3DY09 66 2 60BON 1",6.03041,6.77574,2009,5,56.04367,-165.55533,135,147.58528,98,"3DY09_56.04367_-165.55533_2009-05-15 15:47_505",1,311,"5/15/2009",225280,"3DY09_66_2",1.89935454545455,31.5019636363636,"5/15/2009","3DY09_66_2"
"425",1625,"DY14-06",119,1,"2014-05-29 6:51","DY14-06 119 1 60BON 1",0,0,2014,5,56.7058,-166.1967,149,131.09146,81,"DY14-06_56.7058_-166.1967_2014-05-29 6:51_505",0,521,"5/29/2014",228355,"DY14-06_119_1",5.51075454545455,31.8005545454545,"5/29/2014","DY14-06_119_1"
"430",1638,"DY14-05",42,2,"2014-05-10 22:03","DY14-05 42 2 60BON 1",5.53972,8.39352,2014,5,57.7683,-168.4642,130,119.13959,71,"DY14-05_57.7683_-168.4642_2014-05-10 22:03_505",1,521,"5/10/2014",228355,"DY14-05_42_2",2.59371818181818,32.3809,"5/10/2014","DY14-05_42_2"
"431",1639,"DY14-05",43,5,"2014-05-11 0:32","DY14-05 43 5 60BON 2",0,0,2014,5,57.8352,-168.8827,131,130.47681,71,"DY14-05_57.8352_-168.8827_2014-05-11 0:32_505",0,521,"5/11/2014",228355,"DY14-05_43_5",2.32841818181818,32.4228818181818,"5/11/2014","DY14-05_43_5"
"432",1640,"DY14-06",139,1,"2014-05-30 19:07","DY14-06 139 1 60BON 1",0,0,2014,5,56.6675,-168.1492,150,170.21358,107,"DY14-06_56.6675_-168.1492_2014-05-30 19:07_505",0,521,"5/30/2014",228355,"DY14-06_139_1",5.52433636363636,31.7814545454545,"5/30/2014","DY14-06_139_1"
"433",1641,"DY14-05",45,2,"2014-05-11 4:33","DY14-05 45 2 60BON 2",23.86362,38.48971,2014,5,57.9272,-169.325,131,103.92389,67,"DY14-05_57.9272_-169.325_2014-05-11 4:33_505",4,521,"5/11/2014",228355,"DY14-05_45_2",2.34139090909091,32.3734272727273,"5/11/2014","DY14-05_45_2"
"434",1651,"3DY09",49,2,"2009-05-14 6:43","3DY09 49 2 60BON 1",337.53331,519.28201,2009,5,55.5285,-163.54916,134,130.95004,75,"3DY09_55.5285_-163.54916_2009-05-14 6:43_505",68,311,"5/14/2009",225280,"3DY09_49_2",3.84055454545455,31.6320181818182,"5/14/2009","3DY09_49_2"
"435",1654,"DY14-05",65,2,"2014-05-12 8:14","DY14-05 65 2 60BON 1",60.28049,94.18827,2014,5,59.8928,-172.1638,132,116.78737,74,"DY14-05_59.8928_-172.1638_2014-05-12 8:14_505",11,521,"5/12/2014",228355,"DY14-05_65_2",-0.0661272727272727,31.3281636363636,"5/12/2014","DY14-05_65_2"
"436",1656,"3DY09",9,2,"2009-05-09 12:31","3DY09 9 2 60BON 1",5.73344,9.7177,2009,5,56.96933,-169.91684,129,102.90499,68,"3DY09_56.96933_-169.91684_2009-05-09 12:31_505",1,311,"5/9/2009",225280,"3DY09_9_2",0.610318181818182,31.6818090909091,"5/9/2009","3DY09_9_2"
"437",1660,"DY14-06",156,1,"2014-06-02 1:19","DY14-06 156 1 60BON 1",0,0,2014,6,56.9895,-168.9562,153,128.31635,80,"DY14-06_56.9895_-168.9562_2014-06-02 1:19_505",0,521,"6/2/2014",228355,"DY14-06_156_1",5.05828181818182,32.1897272727273,"6/2/2014","DY14-06_156_1"
"438",1661,"DY14-06",166,1,"2014-06-02 19:28","DY14-06 166 1 60BON 1",0,0,2014,6,56.8507,-170.2835,153,153.76702,93,"DY14-06_56.8507_-170.2835_2014-06-02 19:28_505",0,521,"6/2/2014",228355,"DY14-06_166_1",5.1417,31.8538727272727,"6/2/2014","DY14-06_166_1"
"439",1663,"2MF05",98,1,"2005-03-04 20:21","2MF05 98 1 60BON 1",0,0,2005,3,54.30967,-165.70134,63,125.74557,81,"2MF05_54.30967_-165.70134_2005-03-04 20:21_505",0,283,"3/4/2005",249168,"2MF05_98_1",4.16789,32.14085,"3/4/2005","2MF05_98_1"
"441",1668,"2DY10",22,3,"2010-05-08 12:22","2DY10 22 3 60BON 2",0,0,2010,5,54.707,-165.272,128,264.8378,136,"2DY10_54.707_-165.272_2010-05-08 12:22_500",0,370,"5/8/2010",227957,"2DY10_22_3",3.26243636363636,31.8636636363636,"5/8/2010","2DY10_22_3"
"442",1669,"2DY10",25,4,"2010-05-08 21:06","2DY10 25 4 60BON 2",0,0,2010,5,55.36467,-165.89317,128,204.07626,121,"2DY10_55.36467_-165.89317_2010-05-08 21:06_500",0,370,"5/8/2010",227957,"2DY10_25_4",2.80904,31.89313,"5/8/2010","2DY10_25_4"
"443",1670,"5MF00",18,2,"2000-05-07 5:08","5MF00 18 2 60BON 1",0,0,2000,5,57.10083,-169.31751,127,88.28073,74,"5MF00_57.10083_-169.31751_2000-05-07 5:08_333",0,54,"5/7/2000",248451,"5MF00_18_2",3.25967,32.37988,"5/7/2000","5MF00_18_2"
"444",1673,"4MF07",33,1,"2007-05-11 18:19","4MF07 33 1 60BON 1",0,0,2007,5,56.76817,-168.744,131,128.70641,99,"4MF07_56.76817_-168.744_2007-05-11 18:19_505",0,446,"5/11/2007",234261,"4MF07_33_1",1.58579090909091,31.9255909090909,"5/11/2007","4MF07_33_1"
"447",1678,"4MF07",40,2,"2007-05-12 9:03","4MF07 40 2 60BON 1",0,0,2007,5,56.26833,-171.17101,132,197.21747,148,"4MF07_56.26833_-171.17101_2007-05-12 9:03_505",0,446,"5/12/2007",234261,"4MF07_40_2",2.6841,32.1588818181818,"5/12/2007","4MF07_40_2"
"448",1681,"2MF03",5,2,"2003-03-04 11:53","2MF03 5 2 60BON 1",0,0,2003,3,56.86783,-164.05634,63,99.919,71,"2MF03_56.86783_-164.05634_2003-03-04 11:53_333",0,125,"3/4/2003",255366,"2MF03_5_2",3.85222857142857,31.6184857142857,"3/4/2003","2MF03_5_2"
"452",1700,"4MF07",26,4,"2007-05-11 2:16","4MF07 26 4 60BON 1",0,0,2007,5,56.07367,-170.00934,131,141.37459,126,"4MF07_56.07367_-170.00934_2007-05-11 2:16_505",0,446,"5/11/2007",234261,"4MF07_26_4",2.37101818181818,31.9418818181818,"5/11/2007","4MF07_26_4"
"453",1703,"4MF07",54,2,"2007-05-13 14:18","4MF07 54 2 60BON 1",0,0,2007,5,56.611,-171.01784,133,162.69272,118,"4MF07_56.611_-171.01784_2007-05-13 14:18_505",0,446,"5/13/2007",234261,"4MF07_54_2",2.45471818181818,32.1970363636364,"5/13/2007","4MF07_54_2"
"456",1724,"4MF03",12,3,"2003-05-19 1:23","4MF03 12 3 60BON 1",0,0,2003,5,54.46283,-165.00517,139,118.74911,77,"4MF03_54.46283_-165.00517_2003-05-19 1:23_505",0,125,"5/19/2003",255366,"4MF03_12_3",5.23939090909091,31.6127272727273,"5/19/2003","4MF03_12_3"
"458",1758,"1DY11",42,2,"2011-05-25 6:02","1DY11 42 2 60BON 1",55.09331,87.4497,2011,5,57.44033,-166.5125,145,171.52718,69,"1DY11_57.44033_-166.5125_2011-05-25 6:02_333",15,208,"5/25/2011",232110,"1DY11_42_2",-1.05219090909091,31.1938636363636,"5/24/2011","1DY11_42_2"
"459",1759,"1DY11",53,5,"2011-05-26 10:04","1DY11 53 5 60BON 1",77.59948,117.57496,2011,5,56.91267,-164.036,146,127.57818,72,"1DY11_56.91267_-164.036_2011-05-26 10:04_333",15,208,"5/26/2011",232110,"1DY11_53_5",2.27189090909091,31.5304545454545,"5/26/2011","1DY11_53_5"
"460",1768,"1DY09",23,2,"2009-03-03 17:15","1DY09 23 2 60BON 1",0,0,2009,3,54.93217,-165.49733,62,246.58011,126,"1DY09_54.93217_-165.49733_2009-03-03 17:15_505",0,311,"3/3/2009",225280,"1DY09_23_2",2.67186363636364,31.7308272727273,"3/3/2009","1DY09_23_2"
"461",1769,"2DY10",29,2,"2010-05-09 5:13","2DY10 29 2 60BON 2",0,0,2010,5,54.8255,-164.88716,129,137.59807,75,"2DY10_54.8255_-164.88716_2010-05-09 5:13_500",0,370,"5/9/2010",227957,"2DY10_29_2",3.55420909090909,31.8052636363636,"5/9/2010","2DY10_29_2"
"462",1784,"2MF03",3,2,"2003-03-04 8:42","2MF03 3 2 60BON 1",0,0,2003,3,56.768,-164.32967,63,107.2667,74,"2MF03_56.768_-164.32967_2003-03-04 8:42_333",0,125,"3/4/2003",255366,"2MF03_3_2",3.904975,31.573725,"3/4/2003","2MF03_3_2"
"463",1787,"DY14-06",41,1,"2014-05-24 4:00","DY14-06 41 1 60BON 1",5.31714,6.40619,2014,5,55.6237,-164.1453,144,156.09901,94,"DY14-06_55.6237_-164.1453_2014-05-24 4:00_505",1,521,"5/24/2014",228355,"DY14-06_41_1",6.25060909090909,31.2762272727273,"5/24/2014","DY14-06_41_1"
"465",1797,"DY14-06",191,1,"2014-06-04 9:03","DY14-06 191 1 60BON 1",0,0,2014,6,58.087,-170.069,155,111.9927,73,"DY14-06_58.087_-170.069_2014-06-04 9:03_505",0,521,"6/4/2014",228355,"DY14-06_191_1",4.22256363636364,32.0729272727273,"6/4/2014","DY14-06_191_1"
"466",1798,"DY14-06",193,1,"2014-06-04 12:05","DY14-06 193 1 60BON 1",0,0,2014,6,57.8498,-170.7982,155,145.41086,84,"DY14-06_57.8498_-170.7982_2014-06-04 12:05_505",0,521,"6/4/2014",228355,"DY14-06_193_1",5.16387272727273,32.3465,"6/4/2014","DY14-06_193_1"
"467",1803,"2DY10",14,2,"2010-05-07 17:25","2DY10 14 2 60BON 2",0,0,2010,5,55.24333,-166.27499,127,264.4682,133,"2DY10_55.24333_-166.27499_2010-05-07 17:25_500",0,370,"5/7/2010",227957,"2DY10_14_2",2.60838181818182,31.7832545454545,"5/7/2010","2DY10_14_2"
"468",1804,"DY14-06",220,1,"2014-06-06 4:55","DY14-06 220 1 60BON 1",98.3047,142.47058,2014,6,59.1852,-171.215,157,133.36087,78,"DY14-06_59.1852_-171.215_2014-06-06 4:55_505",19,521,"6/6/2014",228355,"DY14-06_220_1",2.89917272727273,31.3761818181818,"6/6/2014","DY14-06_220_1"
"469",1805,"DY14-06",30,1,"2014-05-23 9:25","DY14-06 30 1 60BON 1",0,0,2014,5,55.169,-164.7068,143,171.04295,102,"DY14-06_55.169_-164.7068_2014-05-23 9:25_505",0,521,"5/23/2014",228355,"DY14-06_30_1",5.99557272727273,30.7475818181818,"5/23/2014","DY14-06_30_1"
"472",1813,"2DY08",10,2,"2008-05-09 22:05","2DY08 10 2 60BON 1",0,0,2008,5,55.47017,-167.95934,129,227.53897,148,"2DY08_55.47017_-167.95934_2008-05-09 22:05_333",0,331,"5/9/2008",227649,"2DY08_10_2",2.61315454545455,32.1885363636364,"5/9/2008","2DY08_10_2"
"473",1814,"1DY12",66,3,"2012-05-08 13:22","1DY12 66 3 60BON 1",344.76129,574.60214,2012,5,56.86067,-164.0747,128,135.7461,73,"1DY12_56.86067_-164.0747_2012-05-08 13:22_505",78,429,"5/8/2012",234044,"1DY12_66_3",-0.9989,31.1495272727273,"5/8/2012","1DY12_66_3"
"474",1820,"1TT06",100,2,"2006-05-09 3:56","1TT06 100 2 60BON 1",2540.73983,4457.4383,2006,5,58.0015,-167.35133,129,103.87132,67,"1TT06_58.0015_-167.35133_2006-05-09 3:56_333",463,442,"5/9/2006",242629,"1TT06_100_2",-1.01065454545455,31.2335545454545,"5/9/2006","1TT06_100_2"
"475",1821,"1TT06",54,2,"2006-04-28 0:55","1TT06 54 2 60BON 2",125.98495,157.48119,2006,4,58.57917,-171.34166,118,158.74912,90,"1TT06_58.57917_-171.34166_2006-04-28 0:55_333",25,442,"4/28/2006",242629,"1TT06_54_2",-1.53146363636364,31.9346818181818,"4/28/2006","1TT06_54_2"
"476",1824,"3MF06",54,2,"2006-05-15 13:46","3MF06 54 2 60BON 1",0,0,2006,5,55.847,-164.38651,135,135.87779,95,"3MF06_55.847_-164.38651_2006-05-15 13:46_505",0,442,"5/15/2006",242629,"3MF06_54_2",3.05053636363636,31.9417545454545,"5/15/2006","3MF06_54_2"
"477",1825,"1TT06",56,2,"2006-04-28 7:48","1TT06 56 2 60BON 1",272.38145,296.06679,2006,4,58.46733,-171.76016,118,179.01366,100,"1TT06_58.46733_-171.76016_2006-04-28 7:48_333",53,442,"4/28/2006",242629,"1TT06_56_2",-0.254954545454545,32.0383181818182,"4/28/2006","1TT06_56_2"
"479",1833,"1TT06",39,2,"2006-04-24 0:49","1TT06 39 2 60BON 1",59.49314,78.28044,2006,4,58.4435,-171.06101,114,127.74583,86,"1TT06_58.4435_-171.06101_2006-04-24 0:49_333",10,442,"4/24/2006",242629,"1TT06_39_2",-1.27877,31.95012,"4/24/2006","1TT06_39_2"
"480",1851,"DY13-05",39,2,"2013-05-07 21:54","DY13-05 39 2 60BON 1",16.72903,25.34702,2013,5,57.5277,-168.6135,127,118.35712,72,"DY13-05_57.5277_-168.6135_2013-05-07 21:54_500",3,63,"5/7/2013",234526,"DY13-05_39_2",-0.569027272727273,31.3616545454545,"5/7/2013","DY13-05_39_2"
"481",1860,"DY15-04",38,2,"2015-05-02 21:21","DY15-04 38 2 60BON 1",10.42209,16.80983,2015,5,57.4992,-167.353,122,118.978,71,"DY15-04_57.4992_-167.353_2015-05-02 21:21_505",2,160,"5/2/2015",221437,"DY15-04_38_2",2.25636363636364,32.0968181818182,"5/2/2015","DY15-04_38_2"
"482",1861,"DY15-04",40,2,"2015-05-02 23:51","DY15-04 40 2 60BON 1",0,0,2015,5,57.5028,-167.992,122,137.428,72,"DY15-04_57.5028_-167.992_2015-05-02 23:51_505",0,160,"5/2/2015",221437,"DY15-04_40_2",2.2562,32.1216272727273,"5/2/2015","DY15-04_40_2"
"483",1862,"DY15-04",42,2,"2015-05-03 2:22","DY15-04 42 2 60BON 1",0,0,2015,5,57.5285,-168.6145,123,149.565,73,"DY15-04_57.5285_-168.6145_2015-05-03 2:22_505",0,160,"5/3/2015",221437,"DY15-04_42_2",2.82143636363636,32.1101090909091,"5/3/2015","DY15-04_42_2"
"484",1863,"DY15-04",43,2,"2015-05-03 4:10","DY15-04 43 2 60BON 1",0,0,2015,5,57.6565,-169.0065,123,124.665,70,"DY15-04_57.6565_-169.0065_2015-05-03 4:10_505",0,160,"5/3/2015",221437,"DY15-04_43_2",2.68277272727273,32.1212454545455,"5/3/2015","DY15-04_43_2"
"485",1864,"DY15-04",45,5,"2015-05-03 9:27","DY15-04 45 5 60BON 1",16.22553,25.3524,2015,5,57.8325,-168.8893,123,118.332,72,"DY15-04_57.8325_-168.8893_2015-05-03 9:27_505",3,160,"5/3/2015",221437,"DY15-04_45_5",1.05486363636364,31.9166272727273,"5/3/2015","DY15-04_45_5"
"486",1865,"DY15-04",46,2,"2015-05-03 11:21","DY15-04 46 2 60BON 1",169.16642,277.32199,2015,5,58.0692,-168.7278,123,129.813,71,"DY15-04_58.0692_-168.7278_2015-05-03 11:21_505",36,160,"5/3/2015",221437,"DY15-04_46_2",1.28982727272727,31.7069090909091,"5/3/2015","DY15-04_46_2"
"487",1866,"DY15-04",44,2,"2015-05-03 6:24","DY15-04 44 2 60BON 1",4.88005,7.87104,2015,5,57.7652,-168.4683,123,127.048,72,"DY15-04_57.7652_-168.4683_2015-05-03 6:24_505",1,160,"5/3/2015",221437,"DY15-04_44_2",2.08741818181818,32.1396818181818,"5/3/2015","DY15-04_44_2"
