"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link"
"33",93,"DY14-06",103,1,"2014-05-28 5:51","DY14-06 103 1 60BON 1",0,0,2014,5,56.6027,-165.5917,148,146.96837,80,"DY14-06_56.6027_-165.5917_2014-05-28 5:51_505",0,521,"5/28/2014",228355,"DY14-06_103_1",5.33762727272727,31.8067727272727,"5/28/2014","DY14-06_103_1"
"34",94,"DY14-06",121,1,"2014-05-29 9:54","DY14-06 121 1 60BON 1",4.485,7.11905,2014,5,57.0453,-166.0402,149,140.46822,73,"DY14-06_57.0453_-166.0402_2014-05-29 9:54_505",1,521,"5/29/2014",228355,"DY14-06_121_1",5.39977272727273,32.0626818181818,"5/29/2014","DY14-06_121_1"
"35",95,"DY14-05",47,2,"2014-05-11 6:44","DY14-05 47 2 60BON 1",54.6695,84.10693,2014,5,58.0395,-169.6802,131,118.89627,70,"DY14-05_58.0395_-169.6802_2014-05-11 6:44_505",10,521,"5/11/2014",228355,"DY14-05_47_2",2.73805454545455,32.3281181818182,"5/11/2014","DY14-05_47_2"
"36",96,"DY14-06",172,1,"2014-06-03 5:51","DY14-06 172 1 60BON 1",0,0,2014,6,57.2282,-170.022,154,62.43945,37,"DY14-06_57.2282_-170.022_2014-06-03 5:51_505",0,521,"6/3/2014",228355,"DY14-06_172_1",3.65464545454545,32.1700272727273,"6/3/2014","DY14-06_172_1"
"37",97,"DY14-06",162,1,"2014-06-02 13:32","DY14-06 162 1 60BON 2",0,0,2014,6,57.3283,-168.7978,153,131.40236,74,"DY14-06_57.3283_-168.7978_2014-06-02 13:32_505",0,521,"6/2/2014",228355,"DY14-06_162_1",4.81866363636364,32.2462545454545,"6/2/2014","DY14-06_162_1"
"38",98,"DY14-05",8,3,"2014-05-07 23:38","DY14-05 8 3 60BON 1",5.53637,13.18182,2014,5,54.4388,-164.9883,127,75.86204,52,"DY14-05_54.4388_-164.9883_2014-05-07 23:38_505",1,521,"5/7/2014",228355,"DY14-05_8_3",4.75309,31.45548,"5/7/2014","DY14-05_8_3"
"39",103,"5MF05",32,2,"2005-05-13 17:08","5MF05 32 2 60BON 2",177.79747,378.2925,2005,5,56.92433,-159.83949,133,55.5126,56,"5MF05_56.92433_-159.83949_2005-05-13 17:08_505",21,283,"5/13/2005",249168,"5MF05_32_2",3.92909,31.77542,"5/13/2005","5MF05_32_2"
"40",104,"5MF05",35,2,"2005-05-14 0:15","5MF05 35 2 60BON 1",286.2362,502.16877,2005,5,57.04117,-160.45117,134,49.78406,66,"5MF05_57.04117_-160.45117_2005-05-14 0:15_505",25,283,"5/14/2005",249168,"5MF05_35_2",4.19353636363636,31.8948818181818,"5/14/2005","5MF05_35_2"
"41",105,"5MF05",43,2,"2005-05-14 19:03","5MF05 43 2 60BON 1",80.38864,133.98106,2005,5,56.4655,-161.4155,134,97.02864,69,"5MF05_56.4655_-161.4155_2005-05-14 19:03_505",13,283,"5/14/2005",249168,"5MF05_43_2",5.22144,31.84544,"5/14/2005","5MF05_43_2"
"42",106,"5MF05",59,3,"2005-05-16 6:14","5MF05 59 3 60BON 1",0,0,2005,5,55.87083,-163.3725,136,105.258,90,"5MF05_55.87083_-163.3725_2005-05-16 6:14_505",0,283,"5/16/2005",249168,"5MF05_59_3",6.4746,31.89856,"5/16/2005","5MF05_59_3"
"43",109,"5MF05",98,2,"2005-05-18 7:31","5MF05 98 2 60BON 1",0,0,2005,5,55.48617,-165.52049,138,147.43117,115,"5MF05_55.48617_-165.52049_2005-05-18 7:31_505",0,283,"5/18/2005",249168,"5MF05_98_2",5.41525,32.09611,"5/18/2005","5MF05_98_2"
"44",149,"1MF99",10,1,"1999-04-14 17:28","1MF99 10 1 60BON 1",0,0,1999,4,56.18083,-164.1872,104,120.51318,92,"1MF99_56.18083_-164.1872_1999-04-14 17:28_505",0,112,"4/14/1999",246131,"1MF99_10_1",1.20136666666667,31.9810888888889,"4/14/1999","1MF99_10_1"
"45",150,"1MF99",22,1,"1999-04-15 19:28","1MF99 22 1 60BON 1",0,0,1999,4,55.72633,-164.7475,105,144.06953,98,"1MF99_55.72633_-164.7475_1999-04-15 19:28_505",0,112,"4/15/1999",246131,"1MF99_22_1",1.68312,32.04776,"4/15/1999","1MF99_22_1"
"46",153,"1MF99",45,1,"1999-04-18 0:34","1MF99 45 1 60BON 1",0,0,1999,4,57.0175,-164.21401,108,133.06911,70,"1MF99_57.0175_-164.21401_1999-04-18 0:34_505",0,112,"4/18/1999",246131,"1MF99_45_1",-0.43599,31.88852,"4/18/1999","1MF99_45_1"
"47",154,"1MF99",9,1,"1999-04-14 15:58","1MF99 9 1 60BON 1",0,0,1999,4,55.96233,-163.97321,104,130.05446,95,"1MF99_55.96233_-163.97321_1999-04-14 15:58_505",0,112,"4/14/1999",246131,"1MF99_9_1",1.44075555555556,31.9894333333333,"4/14/1999","1MF99_9_1"
"48",155,"2MF98",10,1,"1998-04-09 23:27","2MF98 10 1 60BON 1",0,0,1998,4,55.06817,-164.11031,99,121.78404,36,"2MF98_55.06817_-164.11031_1998-04-09 23:27_505",0,16,"4/9/1998",244951,"2MF98_10_1",2.82273636363636,31.5157818181818,"4/9/1998","2MF98_10_1"
"51",205,"1DY12",61,1,"2012-05-05 10:29","1DY12 61 1 60BON 1",8.04146,7.05391,2012,5,55.58617,-166.108,125,283.5305,124,"1DY12_55.58617_-166.108_2012-05-05 10:29_505",2,429,"5/5/2012",234044,"1DY12_61_1",1.75144545454545,31.9962,"5/5/2012","1DY12_61_1"
"52",206,"1DY12",65,2,"2012-05-08 11:31","1DY12 65 2 60BON 1",476.94353,794.90588,2012,5,56.93283,-163.8393,128,154.7353,70,"1DY12_56.93283_-163.8393_2012-05-08 11:31_505",123,429,"5/8/2012",234044,"1DY12_65_2",-0.863145454545455,31.2020090909091,"5/8/2012","1DY12_65_2"
"53",209,"1DY12",67,2,"2012-05-08 23:36","1DY12 67 2 60BON 1",107.37919,165.19876,2012,5,56.76717,-164.3328,128,127.1196,74,"1DY12_56.76717_-164.3328_2012-05-08 23:36_505",21,429,"5/8/2012",234044,"1DY12_67_2",-0.947445454545455,30.8840181818182,"5/8/2012","1DY12_67_2"
"54",216,"DY13-05",8,2,"2013-05-03 10:15","DY13-05 8 2 60BON 1",31.847,24.49769,2013,5,54.4223,-165.1483,123,367.38152,138,"DY13-05_54.4223_-165.1483_2013-05-03 10:15_500",9,63,"5/3/2013",234526,"DY13-05_8_2",3.46593636363636,31.8120090909091,"5/3/2013","DY13-05_8_2"
